Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Speakers,Device,Render,Logitech PRO X Wireless Gaming Headset,Render,Render,Render,Active,No,-15.13 dB,36.0%,-64.00 dB,0.00 dB,1.00 dB,1,-15.13 dB,36.0%,{0.0.0.00000000}.{61cd02f2-3dbe-47a3-a605-03f5a47ddf45},Logitech PRO X Wireless Gaming Headset\Device\Speakers\Render,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Render\{61cd02f2-3dbe-47a3-a605-03f5a47ddf45}
Speakers,Subunit,Render,Realtek(R) Audio,,,,,No,,100.0%,-65.25 dB,0.00 dB,0.03 dB,2,"0.00 dB, 0.00 dB","100.0%, 100.0%",{2}.\\?\intelaudio#func_01&ven_10ec&dev_0287&subsys_103c87c9&rev_1000#5&21befa87&0&0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\rearlineouttoposst3/00020000,Realtek(R) Audio\Subunit\Speakers,,,,
Stereo Mix,Device,Capture,Realtek(R) Audio,,,,Disabled,Yes,12.00 dB,100.0%,-17.25 dB,12.00 dB,0.03 dB,2,"12.00 dB, 12.00 dB","100.0%, 100.0%",{0.0.1.00000000}.{e9935f6b-df82-4abc-a4b9-c76ef20c3d21},Realtek(R) Audio\Device\Stereo Mix\Capture,,,,HKEY_LOCAL_MACHINE\Software\Microsoft\Windows\CurrentVersion\MMDevices\Audio\Capture\{e9935f6b-df82-4abc-a4b9-c76ef20c3d21}
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{7d2d162b-8654-4793-8934-b848d6217a9f}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c35820e6-a66a-46b7-a329-35a1e0ed1b4b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{e9935f6b-df82-4abc-a4b9-c76ef20c3d21}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,8,,"100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%, 100.0%",{0.0.0.00000000}.{61cd02f2-3dbe-47a3-a605-03f5a47ddf45}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{708a59bb-6adb-4ea6-aff4-6bae2e2bc8de}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.1.00000000}.{8599ac78-4369-44ce-806c-b71310a2dc07}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
System Sounds,Application,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,100.0%,,,0.00 dB,4,,"100.0%, 100.0%, 100.0%, 100.0%",{0.0.1.00000000}.{f2d90407-638c-48df-a64d-e645452a346b}|#%b{A9EF3FD9-4240-455E-A4D5-F2B3301887B2}|1%b#,Logitech PRO X Wireless Gaming Headset\Application\System Sounds,,,,
Volume,Subunit,Render,Logitech PRO X Wireless Gaming Headset,,,,,No,,17.5%,-64.00 dB,0.00 dB,1.00 dB,1,-15.13 dB,17.5%,{2}.\\?\usb#vid_046d&pid_0aba&mi_00#8&30996b33&1&0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\global/00020006,Logitech PRO X Wireless Gaming Headset\Subunit\Volume,,,,
